Theft Status,Occurrence Hour,Occurrence Month,Premises Type,Bike Cost
1,19,6,Residential,200
1,21,7,Other,150
0,2,7,Other,200
1,20,6,Residential,850
1,20,7,Residential,160
1,12,7,Residential,800
1,13,7,Other,1899.98999023438
1,15,6,Residential,400
1,8,7,Residential,550
1,18,7,Outdoors,1000
1,1,7,Residential,400
1,12,7,Residential,1500
1,12,7,Residential,200
1,13,7,Residential,220
1,0,7,Residential,900
1,21,7,Other,1000
1,8,7,Residential,550
1,20,6,Other,700
1,15,7,Outdoors,400
1,15,7,Residential,400
1,16,7,Outdoors,70
1,16,7,Residential,1500
1,0,7,Outdoors,0
1,18,6,Outdoors,350
1,9,7,Outdoors,600
1,23,7,Outdoors,0
1,12,7,Residential,750
1,9,7,Outdoors,200
1,9,7,Other,960
1,9,7,Other,500
1,16,7,Residential,220
1,8,7,Residential,70
1,17,7,Outdoors,100
1,17,7,Outdoors,100
1,19,7,Outdoors,600
1,22,7,Outdoors,400
1,8,7,Other,2000
1,12,7,Outdoors,750
1,21,7,Other,100
1,21,7,Other,100
1,0,6,Outdoors,700
0,8,7,Outdoors,98
1,12,7,Outdoors,700
1,18,7,Outdoors,400
1,20,7,Other,0
1,15,7,Outdoors,212.440002441406
1,21,6,Outdoors,500
1,0,7,Outdoors,100
1,14,7,Outdoors,1000
1,13,7,Residential,600
1,1,6,Residential,1000
1,1,6,Residential,550
1,0,7,Other,600
1,19,7,Residential,400
1,14,7,Residential,0
1,22,7,Residential,300
1,9,7,Outdoors,200
1,19,7,Residential,650
1,19,7,Residential,50
0,17,7,Other,1800
1,22,7,Residential,316.380004882813
1,12,7,Residential,550
1,10,7,Residential,175
1,15,7,Outdoors,300
1,1,7,Residential,200
1,5,7,Outdoors,562
1,12,7,Residential,700
1,20,7,Outdoors,200
1,21,7,Outdoors,88.1399993896484
1,12,7,Residential,150
1,20,7,Residential,1200
1,23,7,Residential,500
1,19,7,Residential,400
1,16,6,Outdoors,480
1,12,7,Residential,200
1,14,7,Other,400
1,7,7,Outdoors,200
1,6,7,Outdoors,309
1,15,7,Residential,200
1,19,7,Other,200
1,23,7,Other,600
1,22,7,Residential,900
1,14,7,Residential,1500
1,0,7,Residential,1000
1,2,7,Residential,400
1,22,7,Outdoors,1000
1,14,7,Outdoors,150
1,20,7,Outdoors,600
1,11,7,Residential,250
1,13,6,Other,1500
1,0,7,Residential,1000
1,0,7,Residential,800
1,22,7,Other,100
1,16,7,Residential,699.989990234375
1,0,7,Residential,800
1,0,7,Residential,1000
1,17,7,Residential,50
1,17,7,Residential,75
1,2,7,Outdoors,875
1,23,7,Residential,800
1,8,7,Residential,500
1,8,7,Outdoors,700
0,13,7,Other,500
0,11,7,Other,300
1,13,7,Outdoors,900
1,0,7,Residential,100
1,9,7,Other,0
1,15,7,Residential,50
1,17,7,Residential,0
1,20,7,Residential,199.990005493164
1,16,7,Outdoors,300
1,5,7,Residential,200
1,6,7,Residential,200
1,17,7,Outdoors,1500
1,8,7,Outdoors,1000
1,12,6,Outdoors,1100
1,14,7,Other,100
1,22,7,Other,700
1,15,7,Outdoors,0
1,21,7,Residential,800
0,8,7,Outdoors,200
1,23,7,Residential,850
1,23,7,Other,500
1,16,7,Residential,500
1,16,7,Residential,500
1,23,7,Residential,880
1,22,7,Residential,700
1,7,7,Other,1500
1,1,7,Other,800
1,15,7,Outdoors,300
1,1,7,Residential,1250
1,13,7,Other,290
1,15,7,Residential,385.269989013672
1,9,7,Outdoors,800
1,0,7,Other,900
1,15,7,Residential,262.140014648438
1,23,7,Residential,200
1,23,7,Residential,200
1,11,7,Other,300
1,23,7,Residential,200
1,23,7,Residential,600
1,18,7,Outdoors,100
1,13,7,Outdoors,110
1,23,7,Residential,700
1,6,7,Residential,0
1,17,7,Outdoors,600
1,21,7,Residential,650
1,8,7,Outdoors,900
1,19,7,Residential,500
1,14,7,Outdoors,1000
